exercise,num_test_samples,mean_true_score,mean_predicted_score,MAE,RMSE,R2
E0,36,3.700833340485891,3.774448878235287,0.5220600896411471,0.7269567520854432,0.3374360260838163
E1,33,4.073936354030263,4.158539461367058,0.454568270480994,0.5876191891464893,0.5650391598564519
E2,28,3.7685713853154863,4.044781752995083,0.5565163493156433,0.7841758350527291,0.19976692813675778
E3,33,3.8509090813723477,3.9575502727970933,0.7045767813017874,1.052484517259034,-0.36561509339684495
E4,30,3.7839999914169313,3.6892968893051146,0.6671359697977702,0.8635226069349272,0.08085255713362716
E5,30,4.501419973373413,4.19784497419993,0.397269082069397,0.5289855596686197,0.24818918973755277
E6,33,4.492727301337502,4.280789230809067,0.2824428370504668,0.40772448963467145,0.48981014239239984
E7,36,4.133333285649617,4.346067097451952,0.3696879810757107,0.42993943558893766,0.11902589539924147
E8,32,4.212656274437904,3.901543118059635,0.5917492881417274,0.7764054992261842,0.05546690775270191
E9,27,3.975933313369751,4.256014806252939,0.44558471220510976,0.5778908327825593,0.4850244599721044
