split,exercise,num_samples,mean_score,good_count,bad_count
test,E0,48,3.6318750000000004,18,30
test,E1,33,4.1863636363636365,21,12
test,E2,27,3.9977777777777783,15,12
test,E3,33,3.4953999999999996,9,24
test,E4,30,3.614,15,15
test,E5,33,4.268181818181816,24,9
test,E6,33,4.489090909090908,21,12
test,E7,33,4.121818181818184,24,9
test,E8,33,4.248636363636362,21,12
test,E9,18,4.383350000000001,18,0
train,E0,99,3.7461606060606076,57,42
train,E1,99,3.971060606060605,57,42
train,E2,87,4.1402298850574715,45,42
train,E3,99,4.0141878787878795,72,27
train,E4,99,3.933421212121214,60,39
train,E5,93,4.397393548387097,75,18
train,E6,98,4.561632653061223,77,21
train,E7,99,4.075151515151516,75,24
train,E8,93,4.344623655913975,66,27
train,E9,98,4.0096948979591875,59,39
valid,E0,31,3.5567741935483865,13,18
valid,E1,33,4.075000000000001,21,12
valid,E2,30,4.076,15,15
valid,E3,31,4.074193548387098,22,9
valid,E4,33,3.989090909090908,21,12
valid,E5,33,4.48090909090909,24,9
valid,E6,32,4.470625000000001,23,9
valid,E7,33,4.383636363636362,27,6
valid,E8,18,4.900000000000001,18,0
valid,E9,13,4.507707692307694,13,0
