exercise,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2,PCC
E0,48,3.6318749487400055,3.8131519009669623,0.39425613979498547,0.501728365002319,0.5889027730031019,0.8081242238853458
E1,33,4.186363653703169,4.03803259676153,0.38326149998289166,0.468426543807435,0.6837866941975272,0.8594178227867693
E2,27,3.997777806388007,4.142075812375104,0.34576956431070965,0.47644425472105006,0.6665893684100381,0.8406648464947014
E3,33,3.4954000169580635,4.102805267680775,0.8560394590551202,0.9418679517848484,-0.8547950617815525,0.3043267831017057
E4,30,3.6140000581741334,4.166346836090088,0.6282883882522583,0.765499653785491,0.01349205828461264,0.7420308997739711
E5,33,4.268181822516701,4.1120217930186875,0.366991324858232,0.546107619125519,0.06463576772661006,0.6369649075528868
E6,33,4.489090919494629,4.27228130716266,0.25766740423260315,0.42082445299844046,0.595534124438382,0.8466168327832146
E7,33,4.121818174015392,4.185672601064046,0.5557155681378914,0.7157629260505389,-0.7755346411061759,0.24608742461565658
E8,33,4.248636440797285,4.228403105880275,0.34465975472421356,0.4885080785160859,0.6393928759857879,0.8024104554794133
E9,18,4.383349895477295,4.662806643380059,0.2848842144012451,0.3499025570729151,-2.641933366448161,0.07417161527626163
