split,exercise,num_samples,mean_score,good_count,bad_count,augmented_count
test,E0,16,3.6318750000000004,6,10,0
test,E1,11,4.1863636363636365,7,4,0
test,E2,9,3.9977777777777783,5,4,0
test,E3,11,3.4954000000000005,3,8,0
test,E4,10,3.6139999999999994,5,5,0
test,E5,11,4.2681818181818185,8,3,0
test,E6,11,4.489090909090908,7,4,0
test,E7,11,4.121818181818182,8,3,0
test,E8,11,4.248636363636363,7,4,0
test,E9,6,4.383349999999999,6,0,0
train,E0,158,3.045462025316458,38,120,125
train,E1,153,3.327209150326797,38,115,120
train,E2,109,3.6919266055045847,26,83,82
train,E3,149,3.1568885906040216,48,101,116
train,E4,133,3.267712781954886,40,93,100
train,E5,90,4.104259999999995,50,40,59
train,E6,90,4.2795555555555564,50,40,58
train,E7,107,3.624672897196263,50,57,74
train,E8,106,3.7002830188679225,36,70,79
train,E9,147,3.5516979591836737,38,109,115
valid,E0,10,3.518,4,6,0
valid,E1,11,4.075,7,4,0
valid,E2,10,4.076,5,5,0
valid,E3,10,4.05,7,3,0
valid,E4,11,3.989090909090909,7,4,0
valid,E5,11,4.480909090909092,8,3,0
valid,E6,10,4.441999999999999,7,3,0
valid,E7,11,4.383636363636364,9,2,0
valid,E8,6,4.8999999999999995,6,0,0
valid,E9,2,4.5667,2,0,0
