split,exercise,num_samples,mean_score,min_score,max_score,good_count,bad_count
test,E0,16,3.6318750000000004,2.3,4.75,6,10
test,E1,11,4.1863636363636365,2.66,5.0,7,4
test,E2,9,3.9977777777777783,2.64,4.94,5,4
test,E4,10,3.6139999999999994,2.18,4.36,5,5
test,E5,11,4.2681818181818185,3.18,4.8,8,3
test,E6,11,4.489090909090908,3.3,5.0,7,4
test,E8,11,4.248636363636363,2.425,4.9,7,4
train,E0,33,3.7461606060606063,1.34,4.74,19,14
train,E1,33,3.9710606060606057,2.02,5.0,19,14
train,E2,27,4.0992592592592585,2.34,4.96,13,14
train,E4,33,3.9334212121212118,1.58,4.84,20,13
train,E5,31,4.397393548387097,2.95,4.9,25,6
train,E6,32,4.5525,3.1,5.0,25,7
train,E8,27,4.266296296296297,2.58,4.96,18,9
valid,E0,10,3.518,2.28,4.68,4,6
valid,E1,11,4.075,2.85,4.94,7,4
valid,E2,10,4.076,2.66,5.0,5,5
valid,E4,11,3.989090909090909,2.64,4.82,7,4
valid,E5,11,4.480909090909092,3.72,4.86,8,3
valid,E6,10,4.441999999999999,3.6,4.96,7,3
valid,E8,6,4.8999999999999995,4.9,4.9,6,0
