split,person,num_samples,mean_score,min_score,max_score,good_count,bad_count
test,P12,15,3.1719999999999997,2.14,4.64,3,12
test,P8,9,4.006666666666666,3.94,4.06,6,3
test,P9,9,3.5231333333333326,3.4,3.7,0,9
train,P0,9,4.416066666666667,4.4,4.44,9,0
train,P10,15,2.8519999999999994,1.44,4.32,3,12
train,P14,15,3.3559999999999994,1.98,4.74,6,9
train,P15,15,3.8959999999999995,3.3,4.3,9,6
train,P2,9,4.6,4.5,4.8,9,0
train,P3,9,4.579999999999999,4.56,4.6,9,0
train,P4,9,4.566666666666667,4.42,4.68,9,0
train,P5,9,4.606666666666666,4.58,4.62,9,0
train,P7,9,4.546666666666667,4.44,4.64,9,0
valid,P1,6,4.75,4.68,4.82,6,0
valid,P11,15,3.5480000000000014,2.88,4.56,6,9
valid,P6,9,4.42,4.34,4.5,9,0
